gioitinh;sothich;nganh;nguyennhan;dtbT;dtbVL;dtbHH;dtbTA;dtbNV;dtbLS;dtbDL;nguonthongtin;donoitieng;tgtimhieu
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;HỆ THỐNG THÔNG TIN;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET;4;1
NỮ;ĐỌC SÁNH, DU LỊCH, ÂM NHẠC, THỜI TRANG;KINH TẾ QUỐC TẾ;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET;5;5
NAM;THỂ THAO ĐIỆN TỬ;ĐIỀU KHIỂN TỰ ĐỘNG HÓA;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;2
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC;Y KHOA;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET;5;4
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;QUẢN TRỊ KINH DOANH;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;3
NAM;ĐỌC SÁNH, DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KỸ THUẬT XÂY DỰNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;5;3
NỮ;PHIM ẢNH, ÂM NHẠC, THỜI TRANG;KỸ THUẬT XÂY DỰNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 9 - 10;THẦY CÔ - BẠN BÈ, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;5;4
NỮ;ĐỌC SÁNH, DU LỊCH, ÂM NHẠC, THỜI TRANG;NGÔN NGỮ ANH;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 9 - 10;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI, TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;3;3
NAM;DU LỊCH, ÂM NHẠC, THỜI TRANG;DƯỢC HỌC;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET;4;3
NAM;ĐỌC SÁNH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;HỆ THỐNG THÔNG TIN;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;THỂ THAO, PHIM ẢNH, THỜI TRANG;KỸ THUẬT XÂY DỰNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;4;3
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, ÂM NHẠC;KỸ THUẬT XÂY DỰNG;NĂNG LỰC BẢN THÂN;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;THẦY CÔ - BẠN BÈ;5;2
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;LUẬT DÂN SỰ;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI;4;4
NAM;DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;HỆ THỐNG THÔNG TIN;SỞ THÍCH;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET;4;4
NỮ;DU LỊCH, ÂM NHẠC, THỜI TRANG;Y KHOA;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET;5;5
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH;CIVIL E;MỨC THU NHẬP CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;GIA ĐÌNH;5;2
NAM;ĐỌC SÁNH, THỂ THAO, THỂ THAO ĐIỆN TỬ, ÂM NHẠC;HỆ THỐNG THÔNG TIN;NĂNG LỰC BẢN THÂN;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET;3;4
NỮ;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, THỜI TRANG;VẬN TẢI;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NỮ;ĐỌC SÁNH, DU LỊCH, ÂM NHẠC;QUẢN TRỊ KINH DOANH;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 9 - 10;THẦY CÔ - BẠN BÈ, INTERNET;4;4
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC;DU LỊCH VÀ QUẢN LÝ DU LỊCH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, INTERNET, MẠNG XÃ HỘI;5;4
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;3;3
NỮ;ĐỌC SÁNH, DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;MỨC THU NHẬP CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI;3;4
NAM;DU LỊCH, PHIM ẢNH, ÂM NHẠC;KỸ THUẬT XÂY DỰNG;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;THẦY CÔ - BẠN BÈ, INTERNET;5;3
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;KỸ THUẬT CƠ KHÍ;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, THẦY CÔ - BẠN BÈ, INTERNET, MẠNG XÃ HỘI, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;GIA ĐÌNH;1;1
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;GIA ĐÌNH, INTERNET, MẠNG XÃ HỘI;4;4
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;3
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO, ÂM NHẠC;GIÁO DỤC MẦM NON;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;GIA ĐÌNH;1;5
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;3
NỮ;DU LỊCH, PHIM ẢNH, ÂM NHẠC, THỜI TRANG;GIÁO DỤC MẦM NON;NĂNG LỰC BẢN THÂN;TỪ 6.5 -  DƯỚI 8;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;GIA ĐÌNH;2;3
NỮ;DU LỊCH VÀ QUẢN LÝ DU LỊCH;GIÁO DỤC MẦM NON;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;INTERNET;4;2
NỮ;DU LỊCH VÀ QUẢN LÝ DU LỊCH;GIÁO DỤC MẦM NON;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;3;3
